month,hours,sum_hours,date,labels
0,0,0,Sep 2020,
12,0,0,Sep 2021,
24,0,0,May 2022,
25,0,0,June 2022,
26,0,0,July 2022,
27,0.5,0.5,Aug 2022,joined SCL
28,3.5,4,Sep 2022,
29,8,12,Oct 2022,
30,6,18,Nov 2022,
31,7.25,25.25,Dec 2022,
32,7,32.25,Jan 2023,
33,13,45.25,Feb 2023,DICE x SCL project
34,2,47.25,Mar 2023,
35,3,50.25,Apr 2023,
36,19,69.25,May 2023,SCL x RAM project
37,1.5,70.75,Jun 2023,
38,2.5,73.25,Jul 2023,
39,2,75.25,Aug 2023,
40,12,87.25,Sep 2023,joined DICE & SCL
41,31.5,118.75,Oct 2023,began thesis
42,31,149.75,Nov 2023,
43,16,165.75,Dec 2023,
44,24.5,190.25,Jan 2024,
